Nombre cientifico,Nombre,Familia,Origen,Sistema radicular,Parte aérea,Clima,Suelo,Forma,Tronco diám. 1.30 del piso,Altura,Copa diámetro,Follaje,"Tipo de follaje, crecimiento",Floración y fruto,Respuesta a la poda,Separación,Propagación,Longevidad,Tolerancia al smog.,Banquetas,Banquetas 0-1 mts,Banquetas 1-2 mts,Banquetas 2-5 mts,Camellones 0-1 mts,Camellones 1-2 mts,Camellones 2-4 mts,Camellones 4-o más,Glorietas grandes,Jardines Ext. grandes,Parques,Jardines,O2 producido (mg/hora por cada 100 cm² de hojas),CO2 absorbido (mg/hora por cada 100 cm² de hojas):
Acacia juliflora,Mezquite,Mimosaceae,Mexico,Pivotante.,"Tronco recto, corteza rugosa oscura, hojas compuestas, paripinnadas, oblongas de color verde grisáceo.","Templado, tolera bajas y altas temperaturas.",Se acondiciona en varios tipos de suelos.,Extendida.,"10 años: ..30 mts., 20 años: .45 mts., máxima: 70 mts.",10 años: 5 mts. 20 años: 7 mts. Máxima: 8 mts.,10 años: 3.50 mts. 20 años: 5 mts. Máxima: 8 mts.,Caducifolio.,"Mediano, lento.","Flores amarillas primavera, fruto vaina comprimida.",Mediano.,8 mts.,Por semilla.,130 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,15,25
Acmena smithii,Cerezo de Cayena o Eugenia,Myrtaceae,América trópical,"Pivotante, compacto y profundo.","Tronco recto, ramas delgadas y flexibles, hojas elípticas, opuestas, coriáceas brillantes de color verde oscuro.","Templado, no tolera heladas.",Se acondiciona a varios tipos de suelos.,Columnar y después irregular.,"10 años: .12 mts., 20 años: .22 mts., máxima: .30 mts.",10 años: 3 mts. 20 años: 4.50 mts. Máxima: 5 mts.,10 años: 2.5 mts. 20 años: 3.5 mts. Máxima: 4 mts.,Perenifolio.,"Denso, rápido.","Florece en primavera, fruto ovalado color rojo 3 cms.",Buena.,4 mts.,Por semilla.,No reportada en esta localidad.,Buena.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,12,18
Araucaria excelsa,Araucaria,Pinaceae,América del sur y Australia,"Pivotante, profundo.","Tronco erecto, corteza gruesa y escamosa, ramificaciones dispuestas horizontalmente, verticiladas, hojas escamosas rígidas, verde claro al inicio y oscuro cuando maduras.","Semitropical, no tolera temperaturas inferiores a – 4°c.","Profundos, buen drene y ricos en materia orgánica.",Piramidal o cónica.,"10 años: .28 mts., 20 años: .70 mts., máxima: .90 mts.",10 años: 13 mts. 20 años: 25 mts. Máxima: 40 mts.,10 años: 6 mts. 20 años: 9 mts. Máxima: 12 mts.,Perenifolio.,"Denso, mediano a lento.","Primavera, fruto grande, globoso, verde con espinas doradas.",Mala.,11 mts.,Por semilla.,110 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,14,20
Arecastrum romanzoffianum,Palma Cocus Plumosa,Arecastrum romanzoffianum,Venezuela,"Fibroso, compacto.","Con estípite liso, grisáceo, a veces con ensanchamiento a diferentes alturas, hojas pinnadas, de 2-3.5 mts. de long. Numerosos folíolos estrechos, que se insertan en el raquis.","Tropical, no tolera bajas temperaturas.","Arenosos, con buen drene.",Palma.,Logra los .60 mts.,Hasta los 11 mts.,A los 5 mts.,Perenifolio.,"Mediano, rápido.","Inflorescencias de 1.5-2 mts., fruto ovoide de 3 cms.",No se debe le ocasionaría la muerte.,5 mts.,Por semilla.,"No se tiene reportado en esta localidad, 45 años bien.",Mediana.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,13,22
Bauhinia americana,Primavera Orquídea,Mimosaceae,Asia trópical,"Pivotante, extendido.","Tronco inclinado, corto, corteza con fisuras leves, hojas pecioladas, bilobuladas, enteras, duras, color verde medio.","Tropical húmedo, no resiste heladas.","Suelos profundos, buen drene, con materia orgánica.",Irregular.,Logra los .90 mts.,Alcanza los 8 mts.,Cubre los 9 mts.,Caducifolio.,"Mediano, rápido.","Flor de 5 pétalos grandes, varios colores, fruto vaina.",Buena.,9 mts.,Por semilla.,60 años.,Mediana.,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,11,19
Callistemon viminalis,Callistemo,Myrtaceae,Australia,Compacta y algo superficial.,"Tronco ramificado, ramas arqueadas y colgantes, corteza rugosa, oscura, fisurada, hojas alternas, simples, lineares o linear-lanceoladas, 7-8 cms. de long. Ápice y base agudos.","Templado, resistente a temperaturas extremas, heladas no.",Se acondiciona a varios tipos de suelos.,Irregular.,"10 años: .9 mts., 20 años: .15 mts., Máxima:.20 mts.",10 años: 2.50 mts. 20 años: 3.50 mts. Máxima: 4.50 mts.,10 años: 1.20 mts. 20 años: 2.0 mts. Máxima: 2.5 mts.,Perenifolio.,"Denso, lento.","Florece marzo-junio, fruto cápsulas leñosas.",Buena.,4.50 mts.,Por esquejes y semilla.,60 años.,Mala.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,10,16
Casuarina equisetifolia,Casuarina,Casuarinaceae,Australia,"Extendido, superficial, tiene nódulos con microorganismos actomicetes que fijan nitrógeno.","Tronco recto, corteza áspera fisurada color marrón oscura, ramas erectas o algo péndulas, hojas pequeñas escamitas que cubren ramillas 7-8 escamas con nudo verticilio.","Templados, resiste vientos, heladas permanentes lo dañan.",Tolera suelos calcáreos y algo salinos pero no en pesados.,Piramidal al principio e irregular de adulto.,"10 años: .35 mts., 20 años: .70 mts., máxima:. 95 mts.",10 años: 13 mts. 20 años: 25 mts. Máxima: 35 mts.,10 años: 3.50 mts. 20 años: 4.50 mts. Máxima: 7.50 mts.,Perenifolio.,"Mediano, rápido.","Florece constantemente, fruto globoso 1 cm. diámetro.",Buena.,7 mts.,Por semilla.,80 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,13,21
Ceiba pentandra,Ceiba,Bombacaceae,América trópical,Extendido algo superficial.,"Tronco recto, espinoso cuando joven, las espinas estan presentes en ramas gruesas, corteza de color griz, hojas compuestas palmeadas de color verde claro.","Tropical, no tolera bajas temperaturas.","Suelos profundos, buen drene y húmedos.",Semi-redondo.,"10 años: .50 mts., 20 años: 1.80 mts., máxima: 2.50 mts.",10 años: 11 mts. 20 años: 25 mts. Máxima: 35 mts.,10 años: 10 mts. 20 años: 15 mts. Máxima: 30 mts.,Caducifolio.,"Mediano, rápido.","Blancas en ramillete, fruto como vaina contiene fibras.",Mediano.,30 mts.,Por semilla.,130 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,16,24
Cicnodobulus chayamansa,Chaya,Euphorbiaceae,México,"Pivotante, extendido.","Tronco recto, grueso de color gris pálido, peciolos de 10 a 20 cms. De long., glabrosas, hojas de forma variada, lobaladas de 3 a 7 cms., cordada en la base, gruesas y carnosas.","Tropical, no tolera heladas.",Se acondiciona a varios tipos de suelos.,Extendida.,Llega a medir .25 mts.,De 3 a 5 mts.,Llegando a medir hasta 6 mts.,Perenifolio.,"Denso, rápido.","Flores blancas sépalos glabradoso, puberulentos, fruto 1 cm.",Mediana.,4 mts.,Por esqueje.,30 años.,Mala.,No,No,No,Si,No,No,Si,Si,Si,Si,Si,Si,11,17
Citrus aurantium,Naranjo Agrio,Rutaceae,Asia trópical,Extendido profundo.,"Tronco recto y corto, corteza lisa color verde grisáceo, ramas jovenes color verde y con largas espinas, hojas ovalado-oblongas, acuminadas, de 7-10 cms.de log. Verde oscuro.","Subtropical, no tolera heladas.","Suelos profundos bien drenados, migajones arcillosos.",Redonda.,"10 años: .15 mts., .20 años: .25 mts., máxima: .35 mts.",10 años: 4 mts. 20 años: 5 mts. Máxima: 6 mts.,10 años: 2.50 mts. 20 años: 4 mts. Máxima: 5 mts.,Perenifolio.,"Denso, rápido.","Blancas fragantes primavera, fruto globoso aplastado.",Buena.,5 mts.,Por semilla.,100 años.,Buena.,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,12,20
Citrus sinensis,Naranjo Chino,Rutaceae,Asia trópical,Extendido y profundo.,"Tronco recto, ramillas nuevas angulosas y espinosas, hojas simples, oblongas, ovadas o elípticas, de 6-15 cms. de log. y 2-9 cms. de ancho, ápice agudo, verde lustroso.","Templado, no tolera bajas temperaturas por mucho tiempo.","Suelos profundos bien drenados, con PH de 5-7.",Esférica.,Hasta los .25 mts.,Logra los 4 mts.,3.50 mts.,Perenifolio.,"Denso, lento.","Flores solitarias o racimos, fruto globoso u oval. 9 cms.",Buena.,3.50 mts.,"Por semilla, injerto.",70 años.,Buena.,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,11,19
Cletra rosei,Malbaste,Cletraceae,México,"Extendido, superficial.","Tronco recto, corteza agrietada, color café grisáceo oscuro, con ramas jovenes rojizas, hojas coriáceas obovadas u ovales, pecioladas, agudas u obtusas verde opaco.","Templado, tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Irregular.,A los .60 mts.,Logra de 9 a 10 mts.,7 mts.,Perenifolio.,"Mediano, lento.","Flores pequeñas, corolas blancas, dispuestas en racimos.",Mediano.,7 mts.,Por esqueje.,60 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,14,23
Cupressus lindleyi,Cedro Blanco,Cupresaceae,N. América,"Pivotante, profundo.","Tronco recto, corteza color café, agrietada con fisuras, ramas jovenes poco colgantes, hoja escaliforme, color verde claro.","Templado-frío, tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Cónica.,"10 años: .20 mts., 20 años: .40 mts., máxima: .80 mts.",10 años: 7 mts. 20 años: 18 mts. Máxima: 30 mts.,10 años: 3.5 mts. 20 años: 5.0 mts. Máxima: 6 mts.,Perenifolio.,"Denso, medio.","Masculinas conillos oblongos con 6-12 estambres, fruto conillos sub-globosos con varios ovulos.",Buena.,6 mts.,Por semilla.,45 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,13,21
Cupressus macrocarpa,Cedro Limón,Cupresaceae,N. América,"Extendido, compacto.","Tronco con ramificaciones desde casi la base del suelo, corteza delgada, hojas aromáticas, diminutas, con el ápice agudo, color amarillo dorado brillante.",Templado-frío.,Se adapta a suelos con buen drene y humedad.,Cónica.,Ramificado desde su base.,Llega a los 4 mts.,3.50 mts.,Perenifolio.,"Denso, rápido.",Fruto en forma de conos ovoidales y carnosos pequeños.,Buena.,3.50 mts.,"Por semilla, esqueje.",No reportada.,Buena.,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,12,18
Cupressus sempervirens,Ciprés,Cupresaceae,Mediterráneo,"Pivotante, compacto.","Tronco recto, cubierto de follaje, con los años pierde follaje en la parte inferior, corteza escamosa grisácea, hojas pequeñas romboidales, color verde oscuro.",Templado-frío.,Se acondiciona a diversos tipos de suelos.,Columnar.,Ramificado desde su base.,10 años: 10 mts. 20 años: 25 mts. Máxima: 30 mts.,10 años: 1.50 mts. 20 años: 2 mts. Máxima: 3 mts.,Perenifolio.,"Denso, rápido.",Frutos en forma de conos esféricos.,No se requiere.,3 mts.,Por semilla y esqueje.,130 años.,Buena.,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,13,20
Cupressus spp.,Cedro Americano,Cupresaceae,N. América,"Pivotante, profundo.","Tronco erecto, corteza irregular, grisacea clara, ramificaciones horizoltalmente, hojas escaliformes, color verde claro.","Frío, tolerante a bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Piramidal.,4 años: .17 mts.,4 años: 4 mts.,4 años: 3 mts.,Perenifolio.,"Mediano, mediano.",No reportado en esta localidad.,Mala.,6 mts.,Por semilla.,No reportada.,Mediana.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,15,22
Delonix regia,Tabachin,Momosaceae,Africa,Extendido poco profundo.,"Tronco recto, corto,corteza lisa, secreta una resina, hojas opuestas, bipinnadas con varios pares de pinnas, cada una sostiene varios pares de folíolos ovales, color verde medio.","Tropical, no tolera bajas temperaturas por mucho tiempo.","Se acondiciona a varios suelos orgánicos, resiste sequía.","Redonda, dispersa.","10 años: .25 mts., 20 años: .40 mts., máxima:.85 mts.",10 años: 6 mts. 20 años: 9 mts. Máxima: 11 mts.,10 años: 6 mts. 20 años: 8 mts. Máxima: 10 mts.,Caducifolio.,"Mediano, mediano.","Flores en racimos rojas-anaranjado, fruto vaina.",Mediano.,10 mts.,Por semilla.,80 años.,Mediana.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,11,18
Eriobotrya japonica,Níspero,Rosaceae,Japón,"Extendido profundo, compacto.","Tronco recto, corteza café rojiza, hojas alternas de 15-25 cms. de long., oblongo-elípticas, coriáceas, verde oscuro en el haz y aterciopeladas por el enves.","Tropical húmedo, no resiste heladas.",Se acondiciona a varios tipos de suelos.,Semi-esférica.,"10 años: .15 mts., 20 años: .20 mts., máxima: .25 mts.",10 años: 3.50 mts. 20 años: 6 mts. Máxima: 7 mts.,10 años: 3 mts. 20 años: 5 mts. Máxima: 6 mts.,Perenifolio.,"Mediano, lento.","Flores blancas otoño, fruto globoso, color amarillo.",No requiere poda.,6 mts.,Por semilla.,50 años.,Buena.,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,12,19
Erythrina americana,Colorin,Mymosaceae,S. América,"Extendido, superficial.","Tronco sinuoso y color verde amarillento, agrietado, ramas espinosas, hojas compuestas con espinas en el pedúnculo, de color verde claro.","Templado, no tolera bajas temperaturas, buena insolación.","En cualquier tipo de suelos, húmedos y resiste PH ácido.",Irregular.,"10 años: .20 mts., 20 años: .30 mts., máxima: .45 mts.",10 años: 4 mts. 20 años: 6 mts. Máxima: 9 mts.,10 años: 4 mts. 20 años: 5 mts. Máxima: 8 mts.,Caducifolio.,"Denso, rápido.","Flor racimos de 2-3 color rojo, fruto vaina semilla roja.",No necesita.,9 mts.,Por semilla.,90 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,10,17
Eucalyptus globulus,Eucalipto,Myrtaceae,Australia,"Superficial, típica.","Tronco recto, corteza rojiza y se desprenden laminillas, hojas simples, lanceoladas, acuminadas.","Templado-frío, no tolera heladas.",Se acondiciona a varios tipos de suelos.,Irregular.,"10 años: .50 mts., 20 años: .90 mts., máxima: 1.80 mts.",10 años: 15 mts. 20 años: 30 mts. Máxima: 50 mts.,10 años: 3.50 mts. 20 años: 6.50 mts. Máxima: 10 mts.,Perenifolio.,"Mediano, rápido.","Flor amarillenta de 3 cms., fruto copas, semilla en conos.","No necesita, actualmente es afectado por una plaga severa.",10 mts.,Por semilla.,70 años.,"Buena, NOTA: no se recomienda su plantación.",No,No,No,No,No,No,No,No,No,N,Si,Si,15,23
Ficus benjamina,Ficus,Moraceae,Diversos lugares del trópico,"Superficial, extendida.","Tronco recto, grisáceo acompañado con raíces aéreas, ramas flexibles, hojas alternas, persistentes, aveces coriáceas, otras herbáceas, con nervaduras, forma ovalada, ápice acuminado.","Tropical, no tolera las heladas.",Se acondiciona a varios tipos de suelos.,Esférica.,"10 años: .35 mts., 20 años: .45mts., máxima: .75 mts.",10 años: 6 mts. 20 años: 10 mts. Máxima: 15 mts.,10 años: 4 mts. 20 años: 8 mts. Máxima: 13 mts.,Perenifolio.,"Denso, rápido.","Los frutos son pequeños, redondos, rojo oscuro.",Buena.,13 mts.,Acodo aéreo.,60 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,13,20
Ficus elastica,Hule,Moraceae,"India, Malasia","Extendido, superficial.","Tronco erecto, bien ramificado, acompañado de raices aéreas, hojas oblongas, ápice acuminado, color verde oscuro lustroso por el envez y opaco al envez.","Tropical, no tolera bajas temperaturas por mucho tiempo.",Requiere suelos bien drenados y húmedos.,Globular.,"10 años:.60 mts., 20 años: .1.10 mts., máxima: .1.50 mts.",10 años: 8 mts. 20 años: 15 mts. Máxima: 25 mts.,10 años: 6 mts. 20 años: 10 mts. Máxima: 14 mts.,Perenifolio.,Buena.,"Primavera, conos globosos de color púrpura y en racimos.",Mediano.,14 mts.,Por acodo aéreo.,80 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,14,22
Ficus iyrata,Ficus de Hoja Ancha,Moraceae,Africa trópical,"Pivotante, extendido.","Tronco recto, corteza grisácea con grietas, hojas obovadas, con bordes muy lobulados, resaltan 4-6 nerviaciones ramificadas claras.","Tropical, no tolera bajas temperaturas.",Arenosos acondicionados con M.O.,Irregular.,Alcanzando hasta los .70 mts.,Logra 8 mts.,7 mts.,Perenifolio.,"Denso, lento.",No produce fruto en esta localidad.,Mediano.,7 mts.,Por acodo aéreo.,70 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,13,21
Ficus nitida,Laurel de la India,Moraceae,Malasia,"Extendido, superficial.","Tronco erecto, corteza color gris-claro, lisa, hojas pecioladas, brillantes, coriáceas, ovadas, con el ápice ovalado.","Templado, no tolera heladas.",Se acondiciona a varios tipos de suelos.,Redonda.,"10 años: .40 mts., 20 años: .90 mts., máxima: 1.50 mts.",10 años: 7 mts. 20 años: 12 mts. Máxima: 18 mts.,10 años: 5 mts. 20 años: 10 mts. Máxima: 15 mts.,Perenifolio.,"Denso, rápido.","Flor sin importancia, fruto pequeño ovoide marrón oscuro.",Buena.,14 mts.,Por acodo aéreo.,70 años.,Buena.,No,No,No,No,No,No,No,No,No,Si,Si,Si,12,19
Ficus padifolia,Camichin,Moraceae,América trópical,"Extendido y superficial, genera raices aéreas.","Tronco conformado en forma irregular uniendose raíces aéreas, ramas con diámetros grandes, hojas coriáceas ovadas, verde oscuro, 8 cms. de long.","Tropical, resiste bajas temperaturas, no resiste heladas.",Se acondiciona a varios tipos de suelos.,Redonda extemdida.,"10 años: .70 mts., 20 años: 1.50 mts., máxima: 2.50 mts.",10 años: 12 mts. 20 años: 18 mts. Máxima: 30 mts.,10 años: 7 mts. 20 años: 10 mts. Máxima: 25 mts.,Perenifolio.,"Denso, lento.","Primavera, frutos redondos café oscuro al madurar.",Buena.,24 mts.,Por estaca y acodo aéreo.,120 años.,Buena.,No,No,No,No,No,No,No,No,No,Si,Si,Si,10,17
Fouqueria splendens,Papelillo o Camaroncillo,Fouqueriaceae,México,"Pivotante, extendido.","Tronco recto, corteza gris lisa y abundantes laminillas en el tronco como en sus ramas, hojas alternas o fasciculadas sin estípulas, de color verde.",Templado.,Se acondiciona a varios tipos de suelos. Medios francos y que retengan humedad.,Redonda a cónica.,Alcanza los .70 mts.,Logra los 8 mts.,A los 7 mts.,Caducifolio.,"Ralo, lento.","Florece en panículas terminales, fruto capsular trivalvo.",Mediano.,7 mts.,Por estaca.,80 años.,Buena.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,9,16
Fraxinus udhei,Fresno,Oleaceae,México,"Extendido, profundo.","Tronco recto, corteza gris, hojas opuestas, de 20 a 25 cms. de largo, compuestas por por 9-11 folíolos lanceolados, aserrados, color verde oscuro y pálido por el envez.","Templado, no tolera heladas.",Se acondiciona a diversos tipos de suelos.,Redonda irregular.,"10 años: .30 mts., 20 años: .60 mts., máxima: 1 mts.",10 años: 15 mts. 20 años: 30 mts. Máxima: 40 mts.,10 años: 7 mts. 20 años: 11 mts. Máxima: 17 mts.,Caducifolio.,"Denso, rápido.","Flores en racimos (amentos), fruto alado en verano.",No requiere.,16 mts.,Por semilla.,80-100 años.,Buena.,No,No,No,No,No,No,No,No,No,Si,Si,Si,11,18
Grevillea robusta,Grevilea,Proteaceae,Australia,"Pivotante, extendido.","Tronco recto, corteza marrón oscura, agrietada, hojas persistentes, de 10 a 15 cms. Divididas doble en forma de helecho, color verde oscuro el haz y por el envez ceniciento.","Templado-frío, no tolera heladas.",Requiere suelos profundos con buen drenaje.,Ovoidal.,"10 años: .40 mts., 20 años: .65 mts., máxima: 1 mts.",10 años: 10 mts. 20 años: 15 mts. Máxima: 23 mts.,10 años: 4 mts. 20 años: 70 mts. Máxima: 10 mts.,Perenifolio.,"Denso, mediano.","Primavera, racimos color amarillo 10 cms. Fruto junio.",No requiere.,10 mts.,Por semilla.,80 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,13,20
Hacer negundo,Negundo,Aceraceae,"N. América, México","Extendido, profundo.","Tronco recto, aveces inclinado, corteza lisa o algo fisurada, color marrón claro, hojas compuestas con 3-7 folíolos de forma ovado oblonga con borde aserrado, haz verde enves pálido.","Templado, no tolera heladas.","Se acondiciona a varios tipos de suelos, no tolera sales.",Redonda.,"10 años: .10 mts., 20 años: .20 mts., máxima: .45 mts.",10 años: 6 mts. 20 años: 9 mts. Máxima: 11 mts.,10 años: 3.50 mts. 20 años: 5 mts. Máxima: 6 mts.,Caducifolio.,"Denso, rápido.","Flores amarillentas primavera, fruto sámara alada.","Mediano, no se recomienda pierde su forma.",6 mts.,Por semilla.,60 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,10,17
Hibiscus esculentus,Majagua,Malvaceae,Cuba,"Pivotante, extendido.","Tronco recto, frecuentemente acanalado, corteza escamosa a ligeramente fisurada, gris, hojas dispuestas en espiral ovadas, con margen entero, ápice agudo, base cordada, verde oscuro.","Tropical, no tolera bajas temperaturas por mucho tiempo.",Suelos profundos con buendrene.,Irregular y abierta.,Hasta .70 mts.,Logra los 20 mts.,Cubre los 12 mts.,Perenifolio.,"Denso, rápido.","Flor permanente de amarillo a rojo, fruto esquizocarpio.",Mediano.,12 mts.,Por semilla.,60 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,12,19
Hibiscus rosa-sinensis,Obelisco,Malvaceae,"China, Japón","Extendido, profundo.","Ramas erectas, hojas simples, alternas, pecioladas, dentadas, hasta 9 cms. de largo, lisas, con estípulas, color verde obscuro.","Tropical y subtropical, no tolera bajas temperaturas.","Franco y franco-arenoso y limoso, húmedos.",Cónica.,Ramificado.,De 2 a 3.50 mts.,De 2 a 4 mts.,Perenifolio.,"Denso, rápido.","Flor solitarias grandes varios colore, permanente floración.",Buena.,3.50 mts.,Por esqueje o estacado.,40 años.,Mediana.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,9,16
Hisbiscus spp.,Monaguillo,Malvaceae,"China, Japón",Extendido profundo.,"Ramificado desde su base, corteza lisa, hojas simples alternas, pecioladas, dentadas, color verde oscuro.","Tropical, subtropical, no tolera bajas temperaturas.",Suelos profundos con buen drene y materia orgánica.,Extendida.,Ramificado desde su base.,2.50 mts.,3 mts.,Caducifolio.,"Mediano, lento.","Flores rojas primavera-verano, otoño.",Buena.,3 mts.,"Por estaca, acodo aéreo.",40 años.,Mediana.,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,11,18
Jacaranda mimosifolia,Jacaranda,Bignoniaceae,Brasil,"Extendido, superficial.","Tronco recto, corteza rugosa, color verde grisácea, hojas opuestas bipinadas, hasta con 16 pares de pinnas, cada una sostiene 14 a 24 pares de folíolos ovales de15 a 20 cms.","Tropical, no tolera heladas.","Profundos, ricos en materia orgánica, lo afectan sales.","Extendida, semiesférica.","10 años: .30 mts., 20 años: .40 mts., máxima: .70 mts.",10 años: 6 mts. 20 años: 10 mts. Máxima: 12 mts.,10 años: 5 mts. 20 años: 8 mts. Máxima: 10 mts.,Caducifolio.,"Mediano, rápido.","Flor lila en primavera, fruto cápsula leñosa, planas.",Mediano.,10 mts.,Por semilla.,80 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,14,21
