Nombre cientifico,Nombre,Familia,Origen,Sistema radicular,Parte aérea,Clima,Suelo,Forma,Tronco diám. 1.30 del piso,Altura,Copa diámetro,Follaje,"Tipo de follaje, crecimiento",Floración y fruto,Respuesta a la poda,Separación,Propagación,Longevidad,Tolerancia al smog.,Banquetas,Banquetas 0-1 mts,Banquetas 1-2 mts,Banquetas 2-5 mts,Camellones 0-1 mts,Camellones 1-2 mts,Camellones 2-4 mts,Camellones 4-o más,Glorietas grandes,Jardines Ext. grandes,Parques,Jardines,O2 producido (mg/hora por cada 100 cm² de hojas),CO2 absorbido (mg/hora por cada 100 cm² de hojas):
Laburnum anagyroides,Lluvia de oro,Mimosaceae,S. Europa,"Extendido, superficial.","Tronco recto, corteza lisa, hojas alternas de 10 a 12 cms. de largo, de color verde claro.","Tropical, no tolera bajas temperaturas por mucho tiempo.","Se adapta gran variedad de texturas, siendo mejor ligeras.",Irregular.,"10 años: .8 mts., 20 años: .10 mts., máxima: .15 mts.",10 años: 5 mts. 20 años: 6 mts. Máxima: 7 mts.,10 años: 2.50 mts. 20 años: 3 mts. Máxima: 4.50 mts.,Caducifolio.,"Mediano, rápido.","Color amarillo primavera, fruto vaina larga.",No requiere.,4.50 mts.,Por semilla.,40 años.,Mediana,No,No,No,Si,No,No,Si,Si,Si,Si,Si,Si,12,19
Lagerstroemia indica,Atmosférica,Litaceae,China,"Extendido, profundo.","Tronco retorcido, corteza grisácea y las ramillas nuevas cuadrangulares, hojas simples, cortamente pecioladas, alternas, opuestas o verticilios de tres, son elípticas a oblongas 2-5 cms.",Templado no tolera heladas.,"Requiere suelos profundos, húmedos y materia orgánica.",Cónica.,"10 años: .12 mts., 20 años: .15 mts., máxima: .20 mts.",10 años: 3 mts. 20 años: 4.5 mts. Máxima: 6 mts.,10 años: 2 mts. 20 años: 2.5 mts. Máxima: 3 mts.,Caducifolio.,"Mediano, rápido.","Primavera, color rosa, blanco, púrpura, frutos en cápsulas.",Buena.,3 mts.,Por estaca.,50 años.,Mediana.,No,No,Si,Si,No,No,Si,Si,Si,Si,Si,Si,13,20
Leucaena leucocephala,Leucaena,Mimosaceae,México,Profunda y extendida.,"Tronco usualmente torcido y se bifurca a diversas alturas, corteza lisa y ligeras fisurada, gris negruzca, hojas alternas, bipinnadas, de 9 a 25 cms. de largo, verde grisáceas y glabras.","Tropical, no tolera bajas temperaturas por mucho tiempo.","Se acondiciona a varios tipos de suelos, bien drenados.","Redondeada, ligeramente abierta.",Hasta .25 mts.,Hasta 12 mts.,Logra los 10 mts.,Perenifolio.,"Ralo, rápido.","Flores blancas de 1 a 2.5 cms., fruto vaina oblonga.",Mediano.,10 mts.,Por semilla.,50 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,14,22
Ligustrum japonicum,Troeno,Oleaceae,Japón,Extendido semiprofundo.,"Tronco ramificado. Corteza lisa, grisácea, con lenticelas marcadas, hojas de ovadas a oval-lanceoladas, coriáceas, de 6-12 cms. de long. Acuminadas, color verde lustroso.","Templado, tolera bajas temperaturas.","Se acondiciona a diversos tipos de suelos, no tolera sales.",Redonda.,"10 años: .8 mts., 20 años: .20 mts., máxima: .35 mts.",10 años: 5 mts. 20 años: 6 mts. Máxima: 8 mts.,10 años: 3 mts. 20 años: 4 mts. Máxima: 7 mts.,Perenifolio.,"Denso, rápido.","Flores blanco-amarillentas primavera, fruto drupa 5 mm.",Buena.,7 mts.,Por semilla.,80 años.,Buena.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,10,17
Liquidambar styraciflus,Liquidámbar,Hammamelidaceae,N. América,"Extendido, profundo.","Tronco recto, corteza grisácea, gruesa, hendida, hojas alternas, palmeadas de 5 a 7 lóbulos, de 10 a 18 cms. de ancho, pecíolo de 6-12 cms. Algo aserradas, verde oscuro, rojas en otoño.","Templado-frío, no tolera altas temperaturas.","Se desarrolla bien en arcillosos, húmedos, profundos.",Ovoidal.,"10 años:.20 mts. 20 años: .30 mts., máxima: .45 mts.",10 años: 6 mts. 20 años: 13 mts. Máxima: 20 mts.,10 años: 4 mts. 20 años: 7 mts. Máxima: 8 mts.,Caducifolio.,"Mediano, mediana.","Flor blanca amento primavera, fruto espinoso redondo.",Mediano.,8 mts.,Por semilla.,70 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,15,23
Lycianthes rantoneii,Manto Azul,Solanaceae,Europa,"Profundo, compacto.","Tronco ramificado, hojas ovada, ápice cuspidado, color verde oscuro.","Templado, no tolera bajas temperaturas.","Se acondiciona a varios tipos de suelos, buen drene.",Redonda a cónica.,Ramificado desde su base.,3.5 mts.,3 mts.,Caducifolio.,"Denso, rápido.","Floración color lila, permanente.",Mediano.,3 mts.,Por esqueje.,35 años.,Mediana.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,13,21
Magnolia grandiflora,Magnolia,Magnolaceae,China,Profunda y semicompacta.,"Tronco recto, corteza lisa de color gris negruzco, hojas alternas, oblongas, de 12 a 20 cms. de largo, de corto pecíolo, duras nervadura central, verde oscuro el haz y marrón el enves.","Templado, no tolera altas temperaturas, resiste frío.","Se acondiciona a varios tipos de suelos, ligeros y profundos.",Cónica.,"10 años: .18 mts., 20 años: .30mts., máxima: .45 mts.",10 años: 6 mts. 20 años: 8 mts. Máxima: 13 mts.,10 años: 4 mts. 20 años: 5 mts. Máxima: 7.50 mts.,Perenifolio.,"Mediano, lento.","Flor grande primavera, fruto rojizo, de 8-10 cms.",No requiere.,7.50 mts.,Por semilla.,60 años.,Mediana.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,12,19
Mangifera indica,Mango,Anacardaceae,Asia trópical,"Profundo, extendido.","Tronco erecto, corteza negruzca con látex resinoso, hojas alternas, simples, coriáceas de lanceoladas a oblongas, de 15-30 cms. de log., de color verde oscuro.","Tropical, no tolera bajas temperaturas por mucho tiempo.","Se desarrolla bien en terrenos ácidos, tolera sales.",Redonda.,"10 años: .30 mts., 20 años: .50 mts., máxima: .85 mts.",10 años: 6 mts. 20 años: 13 mts. Máxima: 25 mts.,10 años: 4 mts. 20 años: 7 mts. Máxima: 13 mts.,Perenifolio.,"Denso, rápido.","Flor m. y f.enero, fruto drupa variable.",Buena.,13 mts. (segú la variedad).,"Por semilla, injerto.",70 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,16,24
Murraya paniculata,Limonaria,Rutaceae,India,"Pivotante, compacto.","Tronco ramificado y torcido, corteza con fisuras, hojas pinnadas compuestas de textura fina y color verde.","Tropical, no tolera bajas temperaturas por mucho tiempo.","Se acondiciona a varios tipos de suelos, tolera algo de sales.",Redonda.,Ramificado desde su base.,De 4 A 5 mts.,De 3 a 4 mts.,Perenifolio.,"Denso, lento.","Flores blancas en primavera, fruto rojo ovoide de 1.5 cms.",Buena.,A 3.5 mts.,Por semilla.,50 años.,Buena.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,11,18
Nerium oleander,Laurel de flor,Apocynaceae,Mediterráneo,"Superficial, compacto.","Follaje compacto, hojas persistentes opuestas o alternas, simples y enteras, lanceoladas y coriáceas, color verde oscuro por el haz y pálidas por el enves.","Tropical y sub-tropical, resiste bajs y altas temperaturas.","Franco, franco arenoso y limoso, resiste salinidad.",Redonda a cónica.,Ramificado.,De 2 a 4 mts.,De 3 a 4.50 mts.,Perenifolio.,"Denso, rápido.",Floración permanente.,Buena.,De 1.50 a 4.50 mts.,Por estaca.,40-50 años.,Buena.,No,Si,Si,Si,S,Si,Si,Si,Si,Si,Si,Si,13,20
Olea europea,Olivo,Oleaceae,Mediterráneo,Extendido superficial.,"Tronco corto, tortuoso, de corteza grisácea, muy fisurada, ramificación abundante, hojas coriáceas, elípticas, oblongas, o lanceoladas, de 3-9 cms. de long. Color verde fuerte en el haz.","Templado, no tolera bajas temperaturas por mucho tiempo.","Suelos profundos, bien drenados.",Irregular.,"10 años: .30 mts., 20 años:.60., máxima: 1.10 mts.",10 años: 4 mts. 20 años: 7 mts. Máxima: 8 mts.,10 años: 3.50 mts. 20 años: 6 mts. Máxima: 8 mts.,Perenifolio.,"Mediano, lento.","Flores blancas en ramicillos axilares, fruto drupa 1-3.5 cm.","Buena, requiere conformarlo.",8 mts.,Por esqueje o estacado.,140 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,14,22
Persea Americana,Aguacate,Lauraceae,América,"Extendido, superficial.","Tronco recto, corteza café y escamosa, hojas enteras, elípticas simples de color verde oscuro, con olor anís.","Tropical húmedo, no resiste heladas.","Profundos con buen drene, no resiste presencia de sales.",Irregular.,"10 años: .20 mts., 20 años: .55 mts., Máxima: 1.10 mts.",10 años: 5 mts. 20 años: 12 mts. Máxima: 22 mts.,10 años: 5 mts. 20 años: 8 mts. Máxima: 13 mts.,"Perenifolio, en terrenos secos como caducifolio.","Mediano, rapido.","Flores amarillas en primavera, fruto color verde.",Mediana.,12 mts.,"Por semilla, injerto.",100 años.,Mala.,No,No,No,No,No,No,No,No,No,Si,Si,Si,13,20
Phonix dactylifera,Palma Datilera,Arecaceae,Islas Canarias,"Fibroso, forma de cepellón.","Con estípite, recto, corteza rugosa, gris, hojas perennifolias compuestas de 4-5 mts. de long. Foíolos numerosos de color verde oscuro.",Resiste altas y bajas temperaturas.,"Prospera en terrenos arenosos, tolera sales.",Palma.,Logra 1 mts.,A los 20 mts.,11 mts.,Perenifolio.,"Mediano, lento.","Flores amarillas globosas, fruto oblongo-ovoides 3-9 cm.",No se debe podar se ocacionaría su muerte.,11 mts.,Por semilla.,120 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,16,23
Phyllostachys aurea,Bambú,Poaceae,Japón,Rizomatoso.,"Tallo leñoso, ramificado desde la base, con frecuentes nudos cerca de la base, huecos, hojas lineales lanceoladas, color verde por el haz y grisácea por el envez.",Templado cálido.,Fértiles y húmedos.,Columnar.,Hasta .15 mts.,Hasta 5 o más metros según la especie.,Según la cantidad de rizomas.,Perenifolio.,"Denso, rápido.",Sin interés y florece irregularmente.,Buena.,Es a criterio según su utilización.,Por rizomas.,35 años.,Buena,No,No,No,No,No,No,No,No,No,Si,Si,Si,15,26
Pino cembroides,Pino Piñonero,Pinaceae,"México, N. América","Extendido, profundo.","Tronco recto, corto, la corteza es agrietada y dividida, delgada de color ceniciento, hojas el número de acículas es de 2-5, generalmente 3 por fascículo, de 2.5 a 10 cms. Verde oscuras.",Resiste temperaturas extremas.,"Se acondiciona a diversos tipos de suelos, resiste la sequía.",Piramidal a redonda.,Alcanza los .50 mts.,Logra los 18 mts.,10 mts.,Perenifolio.,"Denso, lento.",Conos globosos a ovada de 5-14 cms. de long. (piñon).,Mediano.,10 mts.,Por semilla.,100 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,13,20
Pinus oocarpa,Pino Oocarpa,Pinaceae,México,"Extendido, profundo.","Tronco recto, corteza agrietada obscura con placas delgadas y casi rectangulares, hojas en grupos de 5 de 17-35 cms. de long. Anchamente triangulares, color verde claro, ásperas.","Templado-frío, tolera bajas temperaturas.",Se acondiciona a diversos tipos de suelos.,Piramidal a redonda.,Alcanza los .75 mts.,Logra los 30 mts.,A los 11 mts.,Perenofolio.,"Mediano, lento.",Conos anchamente ovoides u ovoide cónicos de 5.5-8 cm.,Mediano.,11 mts.,Por semilla.,100 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,14,21
Pithecellobium dulce,Guamúchil,Mimosaceae,México y América Central,"Extendido, semiprofundo.","Tronco erecto, corteza ligeramente fisurada, color gris, hojas bipinnadas, color verde opaco.","Templado, cálido seco, no tolera bajas temperaturas.",Se acondicona a varios tipos de suelos.,Piramidal alargada.,"10 años: .40 mts., 20 años: .70 mts., máxima: 1.70 mts.",10 años: 5 mts. 20 años: 10 mts. Máxima: 18 mts.,10 años: 4 mts. 20 años: 7 mts. Máxima: 12 mts.,Perenifolio.,"Mediano, mediano.","Flores blancas verdosas en verano, fruto vaina 20 cms.",No requiere.,12 mts.,Por semilla.,120 años.,Buena.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,12,19
Pittosporum tobira,Clavo,Pitosporáceas,"Japón, China","Extendido, compacto.","Tronco ramificado, hojas alternas, ovaladas, de puntas redondeadas, coriáceas, brillantes de color verde oscuro.","Templado-frío, tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Esférica.,Ramificado desde su base.,10 años: 2 mts. 20 años: 3 mts. Máxima: 3.50 mts.,10 años: 2 mts. 20 años: 3 mts. Máxima: 3.50 mts.,Perenifolio.,"Denso, rápido.","Flores blancas, racimos terminales, fruto cápsula ovoide.",Buena.,3 mts.,"Esqueje, acodo.",No reportada en esta localidad.,Buena.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,11,18
Plumeberia rubra,Zacalazuchil (Jacalasuchil),Apocynaceae,De México a Panamá,Compacto.,"Ramificado, corteza escamosa, hojas alternas en los extremos de las ramas, elíptico-oblongas a oblongo-lanceoladas, de 15-40 cms. de long. Con pecíolos de 10 cms., carnosas verdes.","Templado, no tolera bajas temperaturas por mucho tiempo.","Suelos ricos con materia orgánica, buen drene.",Irregular.,"10 años: .20 mts., 20 años: . 30 mts., máxima: .45 mts.",10 años: 3 mts. 20 años: 4 mts. Máxima: 6 mts.,10 años: 3.50 mts. 20 años: 4.50 mts. Máxima: 6 mts.,Caducifolio.,"Mediano, lento.",Flores agrupadas de 5-8 cms. Varios colores y aromáticas.,Mediano.,6 mts.,Por esqueje.,50 años.,Mediana.,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,10,17
Populus tremula,Alamillo,Salicaceae,Norte América,"Pivotante, superficial.","Tronco erecto, vigoroso corteza color marrón al madurar con franjas, hojas alternas, de color verde claro, de forma triangular u ovalas ligeramente dentadas.","Frío, tolera heladas.",Se acondiciona a varios tipos de suelos.,Irregular.,10 años: .30 mts. 20 años: .50 mts. Máxima: .90 mts.,10 años: 8 mts. 20 años: 20 mts. Máxima: 30 mts.,10 años: 5 mts. 20 años: 10 mts. Máxima: 14 mts.,Caducifolio.,"Mediano, rápido.","Florescencia primavera., semilla junio.",Mediano.,11 mts.,Por estaca.,60 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,9,15
Psidium guajaba,Guayabo,Myrtaceae,América central,"Extendido, compacto, no superficial.","Tronco generalmente torcido, ramas ascendentes y retorcidas, hojas simples de color verde y textura media.","Templado, no tolera bajas temperaturas por mucho tiempo.","Progresa en suelos calizos, con problemas de drenaje.",Irregular.,"10 años: .15 mts., 20 años: .25 mts., máxima: .40 mts.",10 años: 3.50 mts. 20 años: 5 mts. Máxima: 8 mts.,10 años: 3.50 mts. 20 años: 4.50 mts. Máxima: 6 mts.,Perenifolio.,"Mediano, mediano.","Flores blancas prim., fruto esférico, elipsoidales, amarillento.","Buena, requiriendo de formación.",6 mts.,"Por semilla, esqueje.",90 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,12,20
Psidium satorianum,Arrayán,Myrtaceae,México,"Pivotante, profundo.","Tronco erecto, corteza rojiza grisácea con laminillas, hojas entera, opuestas, simples, coriáceas y aromáticas, color verde claro.","Semitropical, tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Irregular.,"10 años: .20 mts., 20 años: .30 mts., máxima: .50 mts.",10 años: 4 mts. 20 años: 9 mts. Máxima: 10 mts.,10 años: 3 mts. 20 años: 5 mts. Máxima: 6 mts.,Perenifolio.,"Mediano, mediano.","Primavera flores blancas, frutos baya redondo-oval.",Buena.,10 mts.,Por semilla.,60 años.,Mediana.,No,No,No,Si,No,No,No,Si,No,Si,Si,Si,11,18
Psidium sellowiana,Guayabo Fresa,Myrtaceae,América trópical,"Pivotante, compacto.","Tronco retorcido y ramifica cerca de su base, ramas cubiertas por corteza laminar, hojas lanceoladas, alternas, color verde brillante.","Sub-tropical, no tolera bajas temperaturas.",Suelos con buen drene y ricos en materia orgánica.,Irregular columnar.,"10 años: .6 mts., 20 años: .10 mts., máxima: .20 mts.",10 años: 2 mts. 20 años: 3 mts. Máxima: 3.50 mts.,10 años: 1.30 mts. 20 años: 1.50 mts. Máxima: 2.50 mts.,Perenifolio.,"Mediano, lento.","Primavera, color blancas, fruto rojo oblongo en verano.",No requiere.,2.50 mts.,"Por semilla, acodo aéreo.",70 años.,Mediana.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,12,19
Punica granatum,Granado,Punicaceae,S.E. de Asia,"Extendido, poco profundo, compacto.","Tronco ramificado, hojas opuestas o alternas, simples, enteras, por lo general oblongas, color verde vivo.","Templado, tolera bajas temperatura, requiere insolación.","Se acondiciona a varios tipos de suelos, buen drenaje.",Irregular.,Por lo general se encuentra ramificado.,10 años: 250 mts. 20 años: 3.50 mts. Máxima: 4 mts.,10 años: 2 mts. 20 años: 3 mts. Máxima: 4 mts.,Caducifolio.,"Mediano, mediano.","Primavera, rojas 3 cms., fruto globoso de 6-8 cms.",Solo de rejuvenecimiento.,4 mts.,"Por semilla, esqueje.",60 años.,Mediana.,No,No,Si,Si,No,No,Si,Si,Si,Si,Si,Si,13,21
Quercus virginiana,Encino Virginiana,Fagaceae,N. América,"Pivotante, extendido.","Tronco recto, corteza caféa y escamosa, hojas alternas, lanceoladas, ligeramente dentadas, ápice acuminado, color verde oscuro.","Templado-frío, tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Redonda.,Hasta los .45 mts.,"Llegando a medir hasta 9 mts. , en esta localidad.",8 mts.,Perenifolio.,"Denso, lento.","Flor mas. en amentos, fem.inflorecencia, fruto bellota.",Mediana.,8 mts.,Por semilla.,"No tiene reporte en esta localidad, a la fecha 25 años bien.",Buena,No,No,No,No,No,No,No,Si,No,Si,Si,Si,15,24
Roystonea oleraceae,Palma Kerpis,Arecaceae,Caribe,"Fibroso, compacto.","Con estípite recto ensanchado en su base, liso de color grisáceo, hojas pinnadas, de 4-6 mts. de long. Con folíolos dispuestos en diferentes planos respecto al raquis.","Tropical, humedo, no tolera bajas temperaturas.","Requiere suelos arenosos, con buen drene.",Palma.,Puede alcanzar los .90 mts.,Logra hasta los 16 mts.,A los 7 mts.,Caducifolio.,"Mediano, lento.","Inflorescencias ramificadas, blancas, frutos 1-2 cms., rojos.",No se debe podar se originaría su muerte.,7 mts.,Por semilla.,120 años.,Mediana.,No,No,No,No,No,No,Si,Si,No,Si,Si,Si,14,22
Shinus mollis,Pirul,Anacardaceae,S. América,Extendido.,"Tronco inclinado, nudoso, corteza rugosa, hojas de 25-30 cms. de long., compuestas de folíolos lancelados de 3-6 cms. de long., aserrados, de color verde claro; resinosas.","Templado, no tolera bajas temperaturas por mucho tiempo.","Se acondiciona a diversos tipos de suelo, tolera poco agua.",Pendular.,Logra 2 mts.,Alcanza los 17 mts.,Cubre hasta 261mts.,Perenifolio.,"Denso, rápido.","Flores blancas, fruto drupas esféricas de 5-8 cms., rojo.",No requiere.,26 mts.,Por semilla.,100 años.,Mala.,No,No,No,No,No,No,No,No,No,N,Si,Si,12,19
Shinus terebinthifolius,Pirul Brasileño,Anacardaceae,S. América,Extendido.,"Tronco corto, muy fisurado, con la corteza que se desprende en placas, exuda resinas aromáticas, hojas paripinnadas, de 25-30 cms. de long. En ramillas colgantes, borde dentado lanceoladas.","Templado, no tolera bajas temperaturas por mucho tiempo.",Se acondiciona a varios tipos de suelos.,Redonda.,Logra los .30 mts.,Alcanza los 7 mts.,Cubre hasta los 7 mts.,Perenifolio.,"Denso, rápido.","Inflorescencias, colgantes, fruto drupáceos, globosos, rojos.",Buena.,7 mts.,Por semilla.,60 años.,Mediana.,No,No,Si,Si,No,No,Si,Si,No,Si,Si,Si,11,18
Spathodea campanulata,Galeana,Bignoniaceae,Africa trópical,"Extendido, semiprofundo.","Tronco recto, grisáceo, hojas pennadas, color verde oscuro en el haz y verde claro en el envez, de ápice obtuso.","Tropical, no tolera bajas temperaturas.","Profundos, con materia orgánica. Medios francos y que retengan humedad.",Redonda a cónica.,"10 años: .30 mts., 20 años: .60 mts., máxima: 1 mts.",10 años: 8 mts. 20 años: 17 mts. Máxima: 25 mts.,10 años: 4 mts. 20 años: 7 mts. Máxima: 9 mts.,Caducifolio.,"Denso, rápido.","Primavera, color anaranjado-rojizo, fruto cápsula larga.",Mala.,9 mts.,Por semilla.,50 años.,Mala.,No,No,No,No,No,No,No,No,No,Si,Si,Si,10,17
Tabehuia rosea,Rosa Morada,Bignonaceae,México,Extendido y profundo.,"Tronco recto, corteza fisurada y suberificada, de aspecto compacto, color café grisáceo obscuro, hojas decusadas, compuestas, de 10-35 cms. de long., folíolos 5, lanceolados.","Tropical, húmedo, no tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Irregular.,Logra .80 mts.,Alcanza los 20 mts.,Cubre los 12 mts.,Caducifolio.,"Mediano, rápido.","Flores color rosado, primavera, fruto vaina de 22-38 cms.",No requiere.,12 mts.,Por semilla.,90 años.,Mediana.,No,No,No,No,No,No,No,Si,No,Si,Si,Si,9,16
Taxodium mucronatum,Ahuehuete,Taxodiaceas,América,"Pivotante, extendido.","Tronco recto, corteza rojiza y escamosa, hojas alternas, lanceoladas, planas, delgadas y agudas de color verde claro tornándose amarillas rojizas al caer.","Templado, no tolera bajas temperaturas por mucho tiempo.",Medios francos y que retengan humedad.,Redonda a cónica.,Puede alcanzar varios metros.,10 años: 15 mts. 20 años: 30 mts. Máxima: 40 mts.,10 años: 4 mts. 20 años: 10 mts. Máxima: 15 mts.,Caducifolio.,"Mediano, lento.","Primavera, conos globosos de color púrpura y en racimos.",Mediano.,20 mts. A 30 mts.,Por semilla.,200-300 años.,Mediana.,No,No,No,No,No,No,No,No,No,Si,Si,Si,16,25
Terminalia catapa,Almendro,Combretaceae,"Malasia,Islas Andamán","Superficial, extendido.","Tronco erecto, corteza grisácea, delgada y lisa, ramaje horizontal, hojas alternas, forma de ramillete obovado-oblongas, 10-30 cms. glabras, ápice abruptamente acuminado.","Trópical, no tolera heladas.",Se acondiciona a varios tipos de suelo.,Redonda.,"10 años: .12 mts., 20 años: .18 mts., máxima: .30 mts.",10 años: 4 mts. 20 años: 7 mts. Máxima: 13 mts.,10 años: 4 mts. 20 años: 8 mts. Máxima: 12 mts.,Caducifolio.,"Denso, rápido.","Primavera, pequeñas, frutos en drupas elípticos 4-6 cms.",Mediana.,11 mts.,"Por semilla, estaca.",No reportada en esta localidad.,Mediana por tener hojas glabras.,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,15,23
Thuya occidentalis,Cedro Tuja,Cupresaceae,N. América,"Compacto, extendido.","Tronco protegido por follaje, hojas cortas escamosas, en el haz verde brillante, en el envés amarillentas.","Templado, no tolera bajas temperaturas.",Profundos y húmedos.,Cónica.,Ramificado desde su base.,10 años: 3 mts. 20 años: 4 mts. Máxima: 6 mts.,10 años: 2 mts. 20 años: 3.50 mts. Máxima: 4 mts.,Perenifolio.,"Denso, mediano.",Frutos conos ovoides verdes después marrón.,Buena.,4 mts.,Por semilla.,45 años.,Su follaje retiene muchas particulas lo que lo perjudica.,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,13,20
Washingtonia filifera,Palma Abanico,Arecaceae,N. México y California,"Fibrosa, compacta.","Con estípite cilíndrico, erecto, con fisuras y anillos muy juntos, hojas costapalmadas de 1.5-2 mts. de long. divididas casí a la mitad, color verde oscuro, pecíolo de1.5 m. Margen con dientes.","Templado, tolera bajas temperaturas.",Se acondiciona a varios tipos de suelos.,Palma.,"10 años: .70 mts., 20 años: .90 mts., máxima: 1 mts.",10 años: 7 mts. 20 años: 11 mts. Máxima: 30 mts.,10 años: 2.50 mts. 20 años: 3 mts. Máxima: 3 mts.,Perenifolio.,"Denso, rápido.","Flores blancas inflorescencia, fruto drupa color negro.","No se debe podar el tronco, originaría su muerte.",3.50 mts.,Por semilla.,120 años.,Mediana,No,No,No,Si,No,No,Si,Si,No,Si,Si,Si,14,22